table_name
clf_user_modules
clf_user_profiles
dwxz_class_students
dwxz_parent_messages
dwxz_parent_student_links
dwxz_student_learning_profiles
dwxz_student_mistake_patterns
dwxz_student_points
jgw_admins
jgw_articulation_diagrams
jgw_auth_requests
jgw_chain_records
jgw_characters
jgw_contributors
jgw_device_sessions
jgw_featured
jgw_grammar_patterns
jgw_hsk_progress
jgw_hsk_words
jgw_invites
jgw_media_assets
jgw_panda_assets
jgw_pinyin_exercises
jgw_poems
jgw_point_rules
jgw_points
jgw_points_summary
jgw_practice_log
jgw_practice_sessions
jgw_progress
jgw_registration_invites
jgw_registrations
jgw_relations
jgw_strokes
jgw_textbook_sections
jgw_words
jgw_words_log
