column_name,data_type
id,uuid
collection_id,uuid
title,text
author,text
language,text
storage_path,text
file_size,bigint
mime_type,text
page_count,integer
grade,text
subject,text
year_published,integer
status,text
status_message,text
chunk_count,integer
processed_at,timestamp with time zone
created_at,timestamp with time zone
updated_at,timestamp with time zone
subject_slug,text
grade_level,text
