column_name,data_type
id,uuid
school_id,uuid
teacher_id,uuid
name,text
name_zh,text
description,text
hsk_level,integer
schedule,text
max_students,integer
is_active,boolean
created_at,timestamp without time zone
level,text
room,text
color,text
