table_name
dwxz_ai_agent_conversations
dwxz_ai_jobs
dwxz_ai_recommendations
dwxz_ai_settings
dwxz_ai_usage_logs
dwxz_attendance
dwxz_attendance_records
dwxz_attendance_sessions
dwxz_captioning_stats
dwxz_chengyu
dwxz_class_attendance
dwxz_class_enrollments
dwxz_class_lessons
dwxz_class_students
dwxz_classes
dwxz_custom_knowledge_points
dwxz_dataset_stats
dwxz_events
dwxz_exhibition_plans
dwxz_grades
dwxz_homework
dwxz_homework_submissions
dwxz_hsk_audio_files
dwxz_hsk_test_answers
dwxz_hsk_test_attempts
dwxz_hsk_test_papers
dwxz_hsk_test_questions
dwxz_hsk_test_sections
dwxz_hsk_test_stats
dwxz_invitation_codes
dwxz_invites
dwxz_join_requests
dwxz_knowledge_categories
dwxz_knowledge_materials
dwxz_material_categories
dwxz_messages
dwxz_notifications
dwxz_panda_assets
dwxz_parent_messages
dwxz_parent_student_links
dwxz_point_transactions
dwxz_points_transactions
dwxz_rag_config
dwxz_rag_config_backup
dwxz_rag_documents
dwxz_rag_files
dwxz_rag_knowledge_bases
dwxz_rag_query_logs
dwxz_reward_redemptions
dwxz_rewards
dwxz_schools
dwxz_student_learning_profiles
dwxz_student_mistake_patterns
dwxz_student_points
dwxz_system_settings
dwxz_teacher_teaching_profiles
dwxz_teaching_materials
dwxz_teaching_progress
dwxz_training_configs
dwxz_training_images
dwxz_training_materials
dwxz_training_stats
dwxz_user_applications
dwxz_user_points
dwxz_user_profile
dwxz_users_view
